order_id,customer_id,product_id,order_date,amount,payment_method,delivery_location,is_festival_season,category
ORD100074,CUST10381,PROD10349,2026-02-10,40731,Card,Kochi,0,Electronics - Laptop
ORD100075,CUST10106,PROD10356,2026-01-18,14851,Card,Patna,1,Electronics - Mobile
ORD100076,CUST11547,PROD10199,2026-01-25,71,Card,Visakhapatnam,1,Books
ORD100077,CUST11404,PROD10233,2026-02-06,31967,COD,Ahmedabad,0,Electronics - Laptop
ORD100078,CUST11378,PROD10063,2026-01-11,201,COD,Lucknow,1,Fashion - Clothing
ORD100079,CUST11109,PROD10090,2026-02-19,46941,Card,Patna,0,Electronics - Laptop
ORD100080,CUST10549,PROD10128,2026-01-12,849,Wallet,Mumbai,1,Toys & Baby Products
ORD100081,CUST10943,PROD10303,2026-01-26,1105,COD,Ahmedabad,1,Fashion - Clothing
ORD100082,CUST10722,PROD10423,2026-02-22,1285,UPI,Chennai,0,Fashion - Clothing
ORD100083,CUST11307,PROD10126,2026-02-10,203,Card,Vadodara,0,Beauty & Personal Care
ORD100084,CUST11616,PROD10200,2026-02-23,743,UPI,Pune,0,Beauty & Personal Care
ORD100085,CUST11118,PROD10491,2026-02-27,4219,Prepaid,Raipur,0,Home & Kitchen
ORD100086,CUST10696,PROD10207,2026-01-11,1911,COD,Hyderabad,1,Fashion - Footwear
ORD100087,CUST11401,PROD10348,2026-02-28,312,COD,Delhi,0,Beauty & Personal Care
ORD100088,CUST11091,PROD10389,2026-01-22,1038,Wallet,Delhi,1,Fashion - Footwear
ORD100089,CUST10364,PROD10467,2026-01-22,1178,COD,Pune,1,Fashion - Clothing
ORD100090,CUST11983,PROD10294,2026-01-11,607,COD,Visakhapatnam,1,Electronics - Accessories
ORD100091,CUST11206,PROD10113,2026-02-25,94264,Card,Kanpur,0,Electronics - Laptop
ORD100092,CUST11084,PROD10311,2026-02-20,829,Prepaid,Guwahati,0,Electronics - Accessories
ORD100093,CUST10457,PROD10440,2026-02-02,615,COD,Mumbai,1,Electronics - Accessories
ORD100094,CUST11455,PROD10200,2026-01-24,743,COD,Pune,1,Beauty & Personal Care
ORD100095,CUST11948,PROD10330,2026-02-01,297,Wallet,Chennai,1,Books
ORD100096,CUST11944,PROD10435,2026-02-05,837,Card,Indore,0,Toys & Baby Products
ORD100097,CUST11548,PROD10249,2026-02-19,1002,Card,Mumbai,0,Toys & Baby Products
ORD100098,CUST10459,PROD10003,2026-01-13,1561,Prepaid,Vadodara,1,Toys & Baby Products
ORD100099,CUST11797,PROD10345,2026-02-27,16856,Prepaid,Mysore,0,Electronics - Mobile
ORD100100,CUST11897,PROD10426,2026-01-08,214,Wallet,Patna,1,Beauty & Personal Care
ORD100101,CUST10337,PROD10024,2026-01-13,382,Card,Nagpur,1,Beauty & Personal Care
ORD100102,CUST11191,PROD10120,2026-01-18,1832,Prepaid,Raipur,1,Sports & Fitness
ORD100103,CUST11717,PROD10186,2026-01-14,1036,COD,Visakhapatnam,1,Toys & Baby Products
ORD100104,CUST10180,PROD10166,2026-01-19,1211,Card,Bhopal,1,Fashion - Clothing
ORD100105,CUST11694,PROD10167,2026-01-13,1358,COD,Bangalore,1,Beauty & Personal Care
ORD100106,CUST11492,PROD10088,2026-01-24,535,UPI,Ahmedabad,1,Toys & Baby Products
ORD100107,CUST11674,PROD10214,2026-01-31,947,Prepaid,Jaipur,1,Sports & Fitness
ORD100108,CUST10487,PROD10408,2026-01-28,536,Card,Indore,1,Electronics - Accessories
ORD100109,CUST10093,PROD10008,2026-02-09,824,COD,Lucknow,0,Sports & Fitness
ORD100110,CUST11733,PROD10076,2026-02-14,317,Prepaid,Chandigarh,0,Books
ORD100111,CUST10580,PROD10486,2026-02-19,476,Prepaid,Bhopal,0,Fashion - Clothing
ORD100112,CUST11589,PROD10181,2026-01-12,242,Prepaid,Raipur,1,Electronics - Accessories
ORD100113,CUST11425,PROD10302,2026-02-03,1173,COD,Delhi,0,Fashion - Clothing
ORD100114,CUST10123,PROD10309,2026-02-16,1696,Wallet,Ahmedabad,0,Home & Kitchen
ORD100115,CUST10013,PROD10139,2026-01-24,184,COD,Mumbai,1,Toys & Baby Products
ORD100116,CUST11729,PROD10263,2026-02-03,95,Card,Mysore,0,Books
ORD100117,CUST10823,PROD10083,2026-02-26,540,COD,Delhi,0,Fashion - Clothing
ORD100118,CUST10677,PROD10285,2026-02-21,50,Wallet,Chennai,0,Fashion - Clothing
ORD100119,CUST10852,PROD10029,2026-01-21,12666,Wallet,Lucknow,1,Electronics - Mobile
ORD100120,CUST11622,PROD10386,2026-01-29,970,Card,Guwahati,1,Fashion - Clothing
ORD100121,CUST10611,PROD10441,2026-01-11,293,COD,Bhopal,1,Books
ORD100122,CUST11446,PROD10172,2026-02-02,284,Card,Indore,1,Books
ORD100123,CUST11108,PROD10323,2026-01-22,2873,Wallet,Nagpur,1,Sports & Fitness
ORD100124,CUST11975,PROD10186,2026-02-20,1036,Card,Lucknow,0,Toys & Baby Products
ORD100125,CUST10364,PROD10257,2026-01-09,633,COD,Pune,1,Sports & Fitness
ORD100126,CUST11258,PROD10466,2026-01-08,1107,Wallet,Bhopal,1,Fashion - Clothing
ORD100127,CUST10680,PROD10013,2026-01-09,50,Prepaid,Ahmedabad,1,Fashion - Footwear
ORD100128,CUST11807,PROD10020,2026-01-03,26725,COD,Ahmedabad,0,Electronics - Mobile
ORD100129,CUST10628,PROD10190,2026-02-10,366,COD,Vadodara,0,Electronics - Accessories
ORD100130,CUST11325,PROD10449,2026-01-15,270,COD,Ranchi,1,Toys & Baby Products
ORD100131,CUST10484,PROD10067,2026-02-11,1001,Prepaid,Mumbai,0,Beauty & Personal Care
ORD100132,CUST11636,PROD10166,2026-02-25,1211,UPI,Coimbatore,0,Fashion - Clothing
ORD100133,CUST10011,PROD10165,2026-01-22,1006,COD,Patna,1,Toys & Baby Products
ORD100134,CUST11068,PROD10104,2026-02-10,41774,UPI,Patna,0,Electronics - Laptop
ORD100135,CUST11396,PROD10051,2026-01-19,384,Wallet,Indore,1,Electronics - Accessories
ORD100136,CUST10790,PROD10300,2026-02-09,134,Wallet,Delhi,0,Books
ORD100137,CUST10295,PROD10255,2026-02-24,557,UPI,Kolkata,0,Toys & Baby Products
ORD100138,CUST10866,PROD10229,2026-02-27,703,Wallet,Mumbai,0,Electronics - Accessories
ORD100139,CUST11473,PROD10486,2026-01-19,476,UPI,Delhi,1,Fashion - Clothing
ORD100140,CUST11529,PROD10003,2026-01-09,1561,COD,Patna,1,Toys & Baby Products
ORD100141,CUST11055,PROD10378,2026-02-15,88796,COD,Patna,0,Electronics - Laptop
ORD100142,CUST10755,PROD10147,2026-01-14,443,Prepaid,Guwahati,1,Fashion - Footwear
ORD100143,CUST11076,PROD10111,2026-02-21,1478,Prepaid,Kolkata,0,Fashion - Footwear
ORD100144,CUST11509,PROD10068,2026-01-13,17893,UPI,Patna,1,Electronics - Mobile
ORD100145,CUST10409,PROD10310,2026-01-10,1025,Prepaid,Indore,1,Sports & Fitness
ORD100146,CUST11283,PROD10156,2026-02-09,2992,COD,Ahmedabad,0,Fashion - Footwear
ORD100147,CUST10772,PROD10378,2026-01-01,88796,UPI,Indore,0,Electronics - Laptop
ORD100148,CUST10850,PROD10134,2026-02-01,620,COD,Kolkata,1,Home & Kitchen
ORD100149,CUST11469,PROD10283,2026-01-30,209,COD,Lucknow,1,Sports & Fitness
ORD100150,CUST11090,PROD10084,2026-02-19,276,Prepaid,Visakhapatnam,0,Beauty & Personal Care
ORD100151,CUST11362,PROD10233,2026-01-12,31967,COD,Bhopal,1,Electronics - Laptop
ORD100152,CUST11842,PROD10179,2026-01-31,1316,Card,Chennai,1,Electronics - Accessories
ORD100153,CUST11529,PROD10498,2026-01-24,124,COD,Patna,1,Books
ORD100154,CUST10544,PROD10247,2026-01-09,977,Prepaid,Ahmedabad,1,Fashion - Footwear
ORD100155,CUST10666,PROD10072,2026-02-09,489,COD,Chandigarh,0,Electronics - Accessories
ORD100156,CUST11672,PROD10397,2026-02-24,906,Wallet,Coimbatore,0,Electronics - Accessories
ORD100157,CUST10783,PROD10460,2026-02-12,1782,Prepaid,Kanpur,0,Fashion - Clothing
ORD100158,CUST10803,PROD10027,2026-02-05,987,Wallet,Bangalore,0,Toys & Baby Products
ORD100159,CUST11966,PROD10061,2026-02-11,707,Prepaid,Nagpur,0,Fashion - Clothing
ORD100160,CUST10936,PROD10351,2026-01-14,1190,COD,Kolkata,1,Beauty & Personal Care
ORD100161,CUST11612,PROD10367,2026-02-16,302,COD,Kolkata,0,Books
ORD100162,CUST11156,PROD10335,2026-02-07,726,Prepaid,Indore,0,Fashion - Clothing
ORD100163,CUST10667,PROD10093,2026-01-12,234,COD,Raipur,1,Books
ORD100164,CUST11956,PROD10290,2026-02-28,695,Wallet,Chennai,0,Fashion - Clothing
ORD100165,CUST11805,PROD10087,2026-01-07,964,Card,Vadodara,1,Toys & Baby Products
ORD100166,CUST11346,PROD10437,2026-02-07,109,COD,Kolkata,0,Fashion - Clothing
ORD100167,CUST10620,PROD10120,2026-02-05,1832,COD,Lucknow,0,Sports & Fitness
ORD100168,CUST10484,PROD10459,2026-01-11,541,Card,Mumbai,1,Fashion - Footwear
ORD100169,CUST11438,PROD10493,2026-01-16,510,UPI,Chennai,1,Sports & Fitness
ORD100170,CUST10655,PROD10284,2026-01-20,1866,COD,Jaipur,1,Toys & Baby Products
ORD100171,CUST10250,PROD10250,2026-02-16,19782,Wallet,Jaipur,0,Electronics - Laptop
ORD100172,CUST10448,PROD10082,2026-02-21,2382,COD,Bangalore,0,Sports & Fitness
ORD100173,CUST10506,PROD10482,2026-01-02,50,Card,Ahmedabad,0,Toys & Baby Products
ORD100174,CUST11772,PROD10129,2026-02-06,1097,Wallet,Mysore,0,Fashion - Footwear
ORD100175,CUST11251,PROD10366,2026-02-16,2336,COD,Jaipur,0,Home & Kitchen
ORD100176,CUST11829,PROD10228,2026-02-08,285,Wallet,Chennai,0,Electronics - Accessories
ORD100177,CUST10005,PROD10095,2026-02-06,60,COD,Kochi,0,Electronics - Accessories
ORD100178,CUST10143,PROD10082,2026-01-04,2382,Wallet,Pune,0,Sports & Fitness
ORD100179,CUST11555,PROD10269,2026-02-28,16045,Prepaid,Bangalore,0,Electronics - Mobile
ORD100180,CUST10438,PROD10251,2026-02-15,1934,Card,Mumbai,0,Sports & Fitness
ORD100181,CUST10283,PROD10296,2026-02-05,62991,UPI,Hyderabad,0,Electronics - Laptop
ORD100182,CUST10267,PROD10076,2026-01-02,317,Prepaid,Ahmedabad,0,Books
ORD100183,CUST10275,PROD10406,2026-01-24,179,COD,Bhopal,1,Electronics - Accessories
ORD100184,CUST11619,PROD10371,2026-02-25,54959,COD,Bhopal,0,Electronics - Laptop
ORD100185,CUST10385,PROD10088,2026-01-03,535,Card,Pune,0,Toys & Baby Products
ORD100186,CUST11558,PROD10283,2026-02-01,209,Wallet,Ranchi,1,Sports & Fitness
ORD100187,CUST11062,PROD10257,2026-02-02,633,Wallet,Vadodara,1,Sports & Fitness
ORD100188,CUST10715,PROD10350,2026-01-14,2466,Card,Mysore,1,Home & Kitchen
ORD100189,CUST11366,PROD10263,2026-01-23,95,COD,Ahmedabad,1,Books
ORD100190,CUST11305,PROD10273,2026-01-26,1508,Prepaid,Patna,1,Fashion - Footwear
ORD100191,CUST10413,PROD10008,2026-01-18,824,UPI,Chennai,1,Sports & Fitness
ORD100192,CUST11889,PROD10198,2026-02-11,46164,COD,Chandigarh,0,Electronics - Laptop
ORD100193,CUST11172,PROD10437,2026-02-20,109,Prepaid,Delhi,0,Fashion - Clothing
ORD100194,CUST10942,PROD10034,2026-01-23,3233,UPI,Nagpur,1,Home & Kitchen
ORD100195,CUST11953,PROD10107,2026-02-25,669,Prepaid,Raipur,0,Beauty & Personal Care
ORD100196,CUST10046,PROD10398,2026-01-10,1108,UPI,Ranchi,1,Sports & Fitness
ORD100197,CUST11595,PROD10474,2026-02-16,1257,Card,Patna,0,Beauty & Personal Care
ORD100198,CUST11359,PROD10012,2026-01-06,49839,Wallet,Visakhapatnam,0,Electronics - Laptop
ORD100199,CUST10567,PROD10334,2026-02-25,1980,UPI,Delhi,0,Sports & Fitness
ORD100200,CUST10116,PROD10313,2026-02-22,1850,COD,Indore,0,Sports & Fitness
ORD100201,CUST10010,PROD10295,2026-01-27,9456,Prepaid,Lucknow,1,Electronics - Mobile
ORD100202,CUST10430,PROD10351,2026-02-07,1190,Prepaid,Bhopal,0,Beauty & Personal Care
ORD100203,CUST10297,PROD10203,2026-01-04,816,UPI,Chennai,0,Electronics - Accessories
ORD100204,CUST10236,PROD10106,2026-01-11,30089,COD,Ahmedabad,1,Electronics - Mobile
ORD100205,CUST11406,PROD10473,2026-02-14,910,Wallet,Guwahati,0,Electronics - Accessories
ORD100206,CUST10955,PROD10385,2026-02-12,660,COD,Mysore,0,Beauty & Personal Care
ORD100207,CUST10235,PROD10310,2026-02-19,1025,Prepaid,Vadodara,0,Sports & Fitness
ORD100208,CUST10237,PROD10057,2026-01-25,645,UPI,Kolkata,1,Toys & Baby Products
ORD100209,CUST11870,PROD10092,2026-01-03,638,COD,Bhopal,0,Sports & Fitness
ORD100210,CUST11477,PROD10016,2026-01-29,689,COD,Bhopal,1,Fashion - Footwear
ORD100211,CUST10702,PROD10338,2026-02-17,1530,Wallet,Raipur,0,Sports & Fitness
ORD100212,CUST11909,PROD10127,2026-01-13,373,UPI,Lucknow,1,Beauty & Personal Care
ORD100213,CUST10075,PROD10150,2026-02-06,2375,COD,Kolkata,0,Home & Kitchen
ORD100214,CUST10778,PROD10172,2026-01-14,284,UPI,Chennai,1,Books
ORD100215,CUST10932,PROD10333,2026-02-26,461,Card,Mysore,0,Fashion - Clothing
ORD100216,CUST11590,PROD10266,2026-01-07,4448,COD,Bhopal,1,Home & Kitchen
ORD100217,CUST11607,PROD10144,2026-01-12,929,COD,Nagpur,1,Fashion - Clothing
ORD100218,CUST10582,PROD10011,2026-02-20,827,COD,Patna,0,Sports & Fitness
ORD100219,CUST10808,PROD10320,2026-02-03,529,COD,Chennai,0,Electronics - Accessories
ORD100220,CUST10690,PROD10440,2026-01-01,615,COD,Nagpur,0,Electronics - Accessories
ORD100221,CUST10668,PROD10068,2026-01-10,17893,Wallet,Lucknow,1,Electronics - Mobile
ORD100222,CUST10263,PROD10008,2026-02-23,824,UPI,Nagpur,0,Sports & Fitness
ORD100223,CUST11434,PROD10433,2026-01-24,1774,Card,Visakhapatnam,1,Sports & Fitness
ORD100224,CUST11477,PROD10194,2026-02-23,1638,Prepaid,Bhopal,0,Fashion - Footwear
ORD100225,CUST11649,PROD10476,2026-01-14,1088,Card,Lucknow,1,Fashion - Clothing
ORD100226,CUST10262,PROD10398,2026-02-14,1108,Prepaid,Bangalore,0,Sports & Fitness
ORD100227,CUST11589,PROD10049,2026-01-15,50,Prepaid,Raipur,1,Electronics - Accessories
ORD100228,CUST10290,PROD10141,2026-01-13,2545,Card,Bhopal,1,Fashion - Footwear
ORD100229,CUST11125,PROD10167,2026-02-04,1358,COD,Visakhapatnam,0,Beauty & Personal Care
ORD100230,CUST10628,PROD10390,2026-01-09,481,COD,Vadodara,1,Sports & Fitness
ORD100231,CUST10055,PROD10132,2026-01-05,23753,UPI,Delhi,0,Electronics - Laptop
ORD100232,CUST10052,PROD10072,2026-01-31,489,Wallet,Raipur,1,Electronics - Accessories
ORD100233,CUST10252,PROD10185,2026-02-09,20712,COD,Chandigarh,0,Electronics - Mobile
ORD100234,CUST10472,PROD10285,2026-02-01,50,COD,Bhopal,1,Fashion - Clothing
ORD100235,CUST10340,PROD10306,2026-02-09,555,COD,Patna,0,Books
ORD100236,CUST11472,PROD10369,2026-01-06,413,COD,Ranchi,0,Fashion - Clothing
ORD100237,CUST11765,PROD10302,2026-01-02,1173,UPI,Kanpur,0,Fashion - Clothing
ORD100238,CUST10259,PROD10440,2026-01-19,615,Prepaid,Ahmedabad,1,Electronics - Accessories
ORD100239,CUST10701,PROD10163,2026-01-17,843,UPI,Visakhapatnam,1,Fashion - Footwear
ORD100240,CUST11695,PROD10449,2026-02-13,270,Prepaid,Pune,0,Toys & Baby Products
ORD100241,CUST10454,PROD10359,2026-02-15,838,Prepaid,Pune,0,Fashion - Footwear
ORD100242,CUST10511,PROD10030,2026-01-08,1018,COD,Bangalore,1,Fashion - Footwear
ORD100243,CUST10743,PROD10464,2026-02-27,42753,COD,Indore,0,Electronics - Laptop
ORD100244,CUST11016,PROD10288,2026-02-28,940,Wallet,Guwahati,0,Fashion - Clothing
ORD100245,CUST10754,PROD10216,2026-02-27,581,Prepaid,Mumbai,0,Sports & Fitness
ORD100246,CUST10759,PROD10226,2026-02-07,625,COD,Coimbatore,0,Beauty & Personal Care
ORD100247,CUST10712,PROD10190,2026-01-19,366,UPI,Patna,1,Electronics - Accessories
ORD100248,CUST11936,PROD10126,2026-01-17,203,COD,Nagpur,1,Beauty & Personal Care
ORD100249,CUST10217,PROD10070,2026-02-23,2542,Wallet,Mumbai,0,Home & Kitchen
ORD100250,CUST10889,PROD10001,2026-01-08,1792,COD,Lucknow,1,Home & Kitchen
ORD100251,CUST10121,PROD10393,2026-01-08,1715,Prepaid,Ahmedabad,1,Toys & Baby Products
ORD100252,CUST10079,PROD10106,2026-01-02,30089,Wallet,Kolkata,0,Electronics - Mobile
ORD100253,CUST11134,PROD10117,2026-01-07,215,COD,Bhopal,1,Toys & Baby Products
ORD100254,CUST10565,PROD10390,2026-01-06,481,COD,Kolkata,0,Sports & Fitness
ORD100255,CUST10867,PROD10264,2026-01-03,39948,Prepaid,Bangalore,0,Electronics - Laptop
ORD100256,CUST11663,PROD10372,2026-02-12,74022,Prepaid,Pune,0,Electronics - Laptop
ORD100257,CUST10303,PROD10303,2026-01-02,1105,Prepaid,Ranchi,0,Fashion - Clothing
ORD100258,CUST11995,PROD10175,2026-02-15,1861,COD,Delhi,0,Sports & Fitness
ORD100259,CUST10172,PROD10100,2026-02-02,367,COD,Delhi,1,Fashion - Footwear
ORD100260,CUST10927,PROD10052,2026-01-16,31461,COD,Nagpur,1,Electronics - Laptop
ORD100261,CUST11459,PROD10117,2026-01-22,215,COD,Mumbai,1,Toys & Baby Products
ORD100262,CUST10097,PROD10416,2026-02-25,2440,COD,Mumbai,0,Sports & Fitness
ORD100263,CUST11986,PROD10271,2026-01-18,351,UPI,Vadodara,1,Fashion - Footwear
ORD100264,CUST11640,PROD10205,2026-01-12,7497,COD,Kanpur,1,Electronics - Mobile
ORD100265,CUST10402,PROD10012,2026-01-02,49839,UPI,Kolkata,0,Electronics - Laptop
ORD100266,CUST10714,PROD10272,2026-02-25,68263,Card,Nagpur,0,Electronics - Laptop
ORD100267,CUST10915,PROD10218,2026-02-15,354,Card,Kochi,0,Electronics - Accessories
ORD100268,CUST11016,PROD10015,2026-01-14,375,COD,Guwahati,1,Beauty & Personal Care
ORD100269,CUST10011,PROD10170,2026-01-13,7883,UPI,Patna,1,Electronics - Mobile
ORD100270,CUST11243,PROD10206,2026-01-11,403,Wallet,Delhi,1,Books
ORD100271,CUST11888,PROD10130,2026-02-23,50,COD,Visakhapatnam,0,Books
ORD100272,CUST10806,PROD10223,2026-02-22,2098,COD,Hyderabad,0,Electronics - Mobile
ORD100273,CUST10723,PROD10299,2026-01-05,1703,UPI,Nagpur,0,Sports & Fitness
ORD100274,CUST11432,PROD10437,2026-01-31,109,COD,Bhopal,1,Fashion - Clothing
ORD100275,CUST10117,PROD10136,2026-01-26,825,COD,Kanpur,1,Home & Kitchen
ORD100276,CUST10205,PROD10159,2026-01-22,1725,Prepaid,Mumbai,1,Sports & Fitness
ORD100277,CUST11546,PROD10034,2026-02-20,3233,COD,Indore,0,Home & Kitchen
ORD100278,CUST10915,PROD10301,2026-02-01,1159,Prepaid,Kochi,1,Home & Kitchen
ORD100279,CUST11871,PROD10129,2026-01-03,1097,COD,Pune,0,Fashion - Footwear
ORD100280,CUST11341,PROD10134,2026-02-07,620,COD,Bangalore,0,Home & Kitchen
ORD100281,CUST11573,PROD10482,2026-02-05,50,COD,Indore,0,Toys & Baby Products
ORD100282,CUST11464,PROD10288,2026-02-18,940,Card,Nagpur,0,Fashion - Clothing
ORD100283,CUST11175,PROD10001,2026-01-21,1792,COD,Kolkata,1,Home & Kitchen
ORD100284,CUST11449,PROD10033,2026-01-21,182,Prepaid,Kolkata,1,Electronics - Accessories
ORD100285,CUST10523,PROD10312,2026-02-08,21603,Card,Mysore,0,Electronics - Mobile
