return_id,order_id,customer_id,return_date,reason,refund_amount,days_to_return
RET10045,ORD100106,CUST11492,2026-02-06,Changed mind,535,13
RET10046,ORD100107,CUST11674,2026-02-03,Product not as described,947,3
RET10047,ORD100108,CUST10487,2026-02-02,Size/fit issue,536,5
RET10048,ORD100113,CUST11425,2026-02-09,Damaged in shipping,1173,6
RET10049,ORD100115,CUST10013,2026-01-29,Product not as described,184,5
RET10050,ORD100120,CUST11622,2026-02-06,Defective product,970,8
RET10051,ORD100121,CUST10611,2026-01-16,Defective product,293,5
RET10052,ORD100124,CUST11975,2026-02-22,Size/fit issue,1036,2
RET10053,ORD100129,CUST10628,2026-02-12,Size/fit issue,366,2
RET10054,ORD100130,CUST11325,2026-01-24,Size/fit issue,270,9
RET10055,ORD100131,CUST10484,2026-02-16,Defective product,1001,5
RET10056,ORD100133,CUST10011,2026-02-05,Damaged in shipping,1006,14
RET10057,ORD100138,CUST10866,2026-03-06,Wrong item received,703,7
RET10058,ORD100140,CUST11529,2026-01-13,Size/fit issue,1561,4
RET10059,ORD100141,CUST11055,2026-02-16,Size/fit issue,88796,1
RET10060,ORD100144,CUST11509,2026-01-16,Defective product,17893,3
RET10061,ORD100149,CUST11469,2026-02-06,Quality not as expected,209,7
RET10062,ORD100151,CUST11362,2026-01-13,Quality not as expected,31967,1
RET10063,ORD100153,CUST11529,2026-01-27,Quality not as expected,124,3
RET10064,ORD100154,CUST10544,2026-01-17,Product not as described,977,8
RET10065,ORD100160,CUST10936,2026-01-25,Changed mind,1190,11
RET10066,ORD100161,CUST11612,2026-03-02,Damaged in shipping,302,14
RET10067,ORD100162,CUST11156,2026-02-11,Defective product,726,4
RET10068,ORD100166,CUST11346,2026-02-09,Better price elsewhere,109,2
RET10069,ORD100167,CUST10620,2026-02-13,Quality not as expected,1832,8
RET10070,ORD100169,CUST11438,2026-01-19,Product not as described,510,3
RET10071,ORD100170,CUST10655,2026-02-03,Defective product,1866,14
RET10072,ORD100172,CUST10448,2026-02-27,Damaged in shipping,2382,6
RET10073,ORD100174,CUST11772,2026-02-10,Changed mind,1097,4
RET10074,ORD100183,CUST10275,2026-02-03,Size/fit issue,179,10
RET10075,ORD100184,CUST11619,2026-03-06,Better price elsewhere,54959,9
RET10076,ORD100187,CUST11062,2026-02-06,Changed mind,633,4
RET10077,ORD100188,CUST10715,2026-01-20,Defective product,2466,6
RET10078,ORD100189,CUST11366,2026-01-28,Better price elsewhere,95,5
RET10079,ORD100190,CUST11305,2026-01-29,Product not as described,1508,3
RET10080,ORD100192,CUST11889,2026-02-20,Product not as described,46164,9
RET10081,ORD100196,CUST10046,2026-01-14,Size/fit issue,1108,4
RET10082,ORD100201,CUST10010,2026-01-30,Damaged in shipping,9456,3
RET10083,ORD100206,CUST10955,2026-02-16,Defective product,660,4
RET10084,ORD100207,CUST10235,2026-02-28,Size/fit issue,1025,9
RET10085,ORD100209,CUST11870,2026-01-05,Size/fit issue,638,2
RET10086,ORD100213,CUST10075,2026-02-19,Damaged in shipping,2375,13
RET10087,ORD100217,CUST11607,2026-01-23,Damaged in shipping,929,11
RET10088,ORD100218,CUST10582,2026-02-22,Damaged in shipping,827,2
RET10089,ORD100220,CUST10690,2026-01-12,Quality not as expected,615,11
RET10090,ORD100225,CUST11649,2026-01-22,Changed mind,1088,8
RET10091,ORD100235,CUST10340,2026-02-18,Quality not as expected,555,9
RET10092,ORD100236,CUST11472,2026-01-18,Product not as described,413,12
RET10093,ORD100237,CUST11765,2026-01-07,Changed mind,1173,5
RET10094,ORD100238,CUST10259,2026-01-29,Wrong item received,615,10
RET10095,ORD100242,CUST10511,2026-01-13,Defective product,1018,5
RET10096,ORD100246,CUST10759,2026-02-11,Better price elsewhere,625,4
RET10097,ORD100247,CUST10712,2026-02-01,Changed mind,366,13
RET10098,ORD100248,CUST11936,2026-01-23,Changed mind,203,6
RET10099,ORD100253,CUST11134,2026-01-20,Size/fit issue,215,13
RET10100,ORD100254,CUST10565,2026-01-08,Quality not as expected,481,2
RET10101,ORD100259,CUST10172,2026-02-13,Changed mind,367,11
RET10102,ORD100260,CUST10927,2026-01-18,Defective product,31461,2
RET10103,ORD100262,CUST10097,2026-03-02,Changed mind,2440,5
RET10104,ORD100264,CUST11640,2026-01-17,Wrong item received,7497,5
RET10105,ORD100275,CUST10117,2026-02-01,Defective product,825,6
RET10106,ORD100279,CUST11871,2026-01-14,Size/fit issue,1097,11
RET10107,ORD100280,CUST11341,2026-02-12,Product not as described,620,5
RET10108,ORD100282,CUST11464,2026-03-01,Quality not as expected,940,11
RET10109,ORD100283,CUST11175,2026-02-02,Product not as described,1792,12
RET10110,ORD100285,CUST10523,2026-02-14,Quality not as expected,21603,6
RET10111,ORD100286,CUST11324,2026-02-11,Better price elsewhere,2594,3
RET10112,ORD100288,CUST11327,2026-01-25,Damaged in shipping,182,12
RET10113,ORD100290,CUST11234,2026-02-24,Wrong item received,1866,7
RET10114,ORD100292,CUST10442,2026-01-22,Quality not as expected,1682,3
RET10115,ORD100293,CUST10982,2026-01-27,Damaged in shipping,728,9
RET10116,ORD100296,CUST11193,2026-03-05,Product not as described,805,5
RET10117,ORD100298,CUST11457,2026-03-07,Product not as described,2904,7
RET10118,ORD100300,CUST10053,2026-02-01,Quality not as expected,1440,2
RET10119,ORD100302,CUST10216,2026-01-29,Quality not as expected,924,2
RET10120,ORD100303,CUST10324,2026-02-24,Changed mind,1530,12
RET10121,ORD100305,CUST11740,2026-03-03,Product not as described,1088,4
RET10122,ORD100307,CUST11844,2026-03-01,Damaged in shipping,3232,2
RET10123,ORD100312,CUST11552,2026-02-08,Size/fit issue,707,10
RET10124,ORD100314,CUST11991,2026-02-01,Wrong item received,1187,8
RET10125,ORD100326,CUST10230,2026-02-06,Quality not as expected,242,9
RET10126,ORD100327,CUST11842,2026-02-17,Defective product,76720,6
RET10127,ORD100330,CUST11595,2026-02-04,Size/fit issue,1088,5
RET10128,ORD100335,CUST10927,2026-01-23,Wrong item received,770,3
RET10129,ORD100337,CUST10790,2026-01-24,Quality not as expected,489,13
RET10130,ORD100338,CUST11187,2026-01-22,Defective product,1038,6
RET10131,ORD100342,CUST11257,2026-02-28,Better price elsewhere,1661,2
RET10132,ORD100343,CUST10529,2026-02-04,Changed mind,1341,4
RET10133,ORD100344,CUST11541,2026-02-12,Changed mind,16045,14
RET10134,ORD100346,CUST10182,2026-01-19,Product not as described,1685,14
RET10135,ORD100348,CUST10732,2026-02-24,Better price elsewhere,1530,6
RET10136,ORD100351,CUST10699,2026-01-21,Defective product,60,5
RET10137,ORD100356,CUST10651,2026-01-15,Changed mind,1260,12
RET10138,ORD100358,CUST11730,2026-02-03,Changed mind,297,3
RET10139,ORD100359,CUST11836,2026-02-28,Damaged in shipping,1107,11
RET10140,ORD100360,CUST11056,2026-02-28,Product not as described,925,14
RET10141,ORD100363,CUST10945,2026-02-10,Size/fit issue,214,5
RET10142,ORD100364,CUST10556,2026-02-07,Damaged in shipping,2090,9
RET10143,ORD100367,CUST11939,2026-02-15,Defective product,4324,11
RET10144,ORD100369,CUST11431,2026-02-18,Better price elsewhere,3937,11
RET10145,ORD100373,CUST10642,2026-02-25,Defective product,22507,13
RET10146,ORD100374,CUST10254,2026-01-22,Better price elsewhere,2244,13
RET10147,ORD100378,CUST11398,2026-01-16,Better price elsewhere,74022,12
RET10148,ORD100380,CUST10424,2026-01-30,Wrong item received,2107,9
RET10149,ORD100381,CUST11998,2026-02-18,Defective product,53034,7
RET10150,ORD100382,CUST11054,2026-01-27,Product not as described,62991,10
RET10151,ORD100387,CUST11397,2026-01-22,Better price elsewhere,50,4
RET10152,ORD100392,CUST10696,2026-03-05,Defective product,1569,6
RET10153,ORD100393,CUST10922,2026-01-23,Better price elsewhere,13111,3
RET10154,ORD100395,CUST10870,2026-01-21,Product not as described,1891,5
RET10155,ORD100399,CUST11295,2026-02-15,Wrong item received,847,7
RET10156,ORD100401,CUST10328,2026-01-22,Quality not as expected,50,10
RET10157,ORD100405,CUST10799,2026-01-21,Defective product,50,14
RET10158,ORD100406,CUST10575,2026-01-11,Product not as described,53034,4
RET10159,ORD100412,CUST10401,2026-01-09,Defective product,112,3
RET10160,ORD100413,CUST11219,2026-02-03,Defective product,2264,11
RET10161,ORD100418,CUST10417,2026-01-23,Defective product,26530,6
RET10162,ORD100421,CUST10944,2026-01-30,Wrong item received,209,7
RET10163,ORD100422,CUST10754,2026-02-11,Defective product,4324,9
RET10164,ORD100423,CUST10261,2026-02-23,Product not as described,201,11
RET10165,ORD100426,CUST11384,2026-02-05,Damaged in shipping,1362,8
RET10166,ORD100428,CUST11515,2026-03-09,Defective product,50,12
RET10167,ORD100432,CUST11397,2026-02-14,Better price elsewhere,217,5
RET10168,ORD100434,CUST11564,2026-01-19,Damaged in shipping,1823,3
RET10169,ORD100439,CUST11242,2026-02-01,Damaged in shipping,180,7
RET10170,ORD100444,CUST10470,2026-02-02,Defective product,2264,13
RET10171,ORD100446,CUST11054,2026-02-28,Size/fit issue,189,13
RET10172,ORD100450,CUST10535,2026-02-09,Better price elsewhere,620,12
RET10173,ORD100458,CUST11200,2026-02-15,Size/fit issue,26530,13
RET10174,ORD100461,CUST10920,2026-01-20,Product not as described,312,11
RET10175,ORD100462,CUST10476,2026-03-05,Changed mind,637,12
RET10176,ORD100464,CUST11455,2026-01-18,Changed mind,1097,6
RET10177,ORD100466,CUST11213,2026-01-13,Product not as described,434,2
RET10178,ORD100474,CUST10129,2026-02-15,Changed mind,592,12
RET10179,ORD100481,CUST11901,2026-02-16,Wrong item received,843,5
RET10180,ORD100484,CUST10399,2026-01-22,Damaged in shipping,2129,2
RET10181,ORD100485,CUST11205,2026-03-02,Product not as described,2129,7
RET10182,ORD100492,CUST10550,2026-01-12,Size/fit issue,23456,7
RET10183,ORD100493,CUST11325,2026-03-08,Damaged in shipping,824,8
RET10184,ORD100497,CUST11257,2026-03-02,Better price elsewhere,2443,2
RET10185,ORD100499,CUST11259,2026-01-26,Damaged in shipping,906,2
RET10186,ORD100500,CUST10880,2026-02-13,Better price elsewhere,947,8
RET10187,ORD100501,CUST11134,2026-02-07,Wrong item received,489,13
RET10188,ORD100502,CUST11162,2026-02-23,Changed mind,32546,14
RET10189,ORD100503,CUST10795,2026-02-02,Changed mind,1025,3
RET10190,ORD100506,CUST11600,2026-01-19,Changed mind,2244,14
RET10191,ORD100507,CUST10759,2026-02-11,Changed mind,22507,4
RET10192,ORD100508,CUST10743,2026-03-01,Better price elsewhere,1536,5
RET10193,ORD100509,CUST10930,2026-02-08,Damaged in shipping,541,14
RET10194,ORD100510,CUST11217,2026-01-11,Quality not as expected,345,2
RET10195,ORD100513,CUST10778,2026-01-30,Product not as described,906,10
RET10196,ORD100514,CUST11558,2026-03-11,Wrong item received,1362,12
RET10197,ORD100516,CUST11045,2026-01-13,Wrong item received,207,5
RET10198,ORD100518,CUST11531,2026-02-13,Defective product,2542,12
RET10199,ORD100523,CUST10333,2026-02-11,Product not as described,489,3
RET10200,ORD100525,CUST11661,2026-03-06,Better price elsewhere,1112,8
RET10201,ORD100526,CUST11476,2026-02-03,Quality not as expected,1461,10
RET10202,ORD100527,CUST10270,2026-02-25,Product not as described,1105,3
RET10203,ORD100529,CUST10653,2026-03-01,Size/fit issue,1143,10
RET10204,ORD100531,CUST11781,2026-02-10,Better price elsewhere,14417,9
RET10205,ORD100533,CUST10817,2026-02-19,Changed mind,1548,4
RET10206,ORD100535,CUST11694,2026-01-22,Wrong item received,306,4
RET10207,ORD100536,CUST10363,2026-01-14,Damaged in shipping,633,3
RET10208,ORD100538,CUST10119,2026-02-14,Quality not as expected,924,13
RET10209,ORD100539,CUST10329,2026-01-21,Wrong item received,757,4
RET10210,ORD100540,CUST10492,2026-01-12,Product not as described,361,3
RET10211,ORD100547,CUST10165,2026-03-06,Defective product,50,8
RET10212,ORD100549,CUST10109,2026-02-17,Wrong item received,3148,11
RET10213,ORD100551,CUST10881,2026-01-28,Quality not as expected,1105,7
RET10214,ORD100552,CUST11959,2026-01-22,Defective product,977,5
RET10215,ORD100555,CUST11633,2026-02-17,Better price elsewhere,695,14
RET10216,ORD100556,CUST11214,2026-02-11,Quality not as expected,1866,5
RET10217,ORD100557,CUST11756,2026-02-01,Quality not as expected,24084,9
RET10218,ORD100559,CUST11712,2026-01-08,Damaged in shipping,886,2
RET10219,ORD100561,CUST10436,2026-03-04,Wrong item received,45705,13
RET10220,ORD100562,CUST10072,2026-01-27,Better price elsewhere,23753,5
RET10221,ORD100563,CUST10720,2026-02-10,Changed mind,1294,5
RET10222,ORD100570,CUST10079,2026-02-06,Changed mind,500,9
RET10223,ORD100572,CUST11109,2026-01-26,Better price elsewhere,633,13
RET10224,ORD100573,CUST10651,2026-01-21,Defective product,805,6
RET10225,ORD100574,CUST10831,2026-01-18,Wrong item received,1075,9
RET10226,ORD100577,CUST10721,2026-01-26,Better price elsewhere,2090,2
RET10227,ORD100582,CUST11821,2026-01-09,Better price elsewhere,21015,2
RET10228,ORD100583,CUST10947,2026-02-16,Quality not as expected,1108,14
RET10229,ORD100585,CUST11649,2026-03-01,Damaged in shipping,17771,14
RET10230,ORD100586,CUST10110,2026-02-24,Damaged in shipping,1190,10
RET10231,ORD100592,CUST11785,2026-01-18,Changed mind,838,14
RET10232,ORD100595,CUST11856,2026-01-29,Quality not as expected,270,6
RET10233,ORD100603,CUST10804,2026-02-16,Size/fit issue,443,3
RET10234,ORD100607,CUST10877,2026-02-15,Product not as described,50,13
RET10235,ORD100608,CUST10131,2026-02-12,Better price elsewhere,2313,8
RET10236,ORD100610,CUST11803,2026-02-22,Size/fit issue,15168,13
RET10237,ORD100615,CUST11319,2026-01-31,Wrong item received,1071,5
RET10238,ORD100620,CUST11467,2026-01-17,Size/fit issue,262,3
RET10239,ORD100624,CUST10684,2026-01-12,Product not as described,1358,11
RET10240,ORD100630,CUST11939,2026-02-16,Wrong item received,1879,2
RET10241,ORD100633,CUST11317,2026-03-12,Wrong item received,757,13
RET10242,ORD100634,CUST11386,2026-02-06,Defective product,50,14
RET10243,ORD100636,CUST11045,2026-01-20,Wrong item received,1097,4
RET10244,ORD100643,CUST10638,2026-01-30,Changed mind,199,4
RET10245,ORD100646,CUST10937,2026-02-02,Changed mind,50,10
RET10246,ORD100651,CUST10387,2026-02-19,Changed mind,91293,5
RET10247,ORD100652,CUST11325,2026-02-18,Product not as described,1386,10
RET10248,ORD100656,CUST10217,2026-01-11,Quality not as expected,412,3
RET10249,ORD100657,CUST10433,2026-02-04,Quality not as expected,205,11
RET10250,ORD100667,CUST11052,2026-01-16,Better price elsewhere,2542,5
RET10251,ORD100668,CUST10332,2026-01-14,Wrong item received,399,10
RET10252,ORD100680,CUST11741,2026-01-13,Damaged in shipping,1088,4
RET10253,ORD100682,CUST11840,2026-03-02,Wrong item received,906,12
RET10254,ORD100684,CUST10519,2026-01-17,Changed mind,1341,4
RET10255,ORD100685,CUST11689,2026-01-29,Defective product,12666,6
RET10256,ORD100686,CUST11914,2026-02-07,Damaged in shipping,1716,9
RET10257,ORD100688,CUST11100,2026-01-23,Wrong item received,13461,14
RET10258,ORD100689,CUST11334,2026-02-12,Changed mind,2382,4
RET10259,ORD100691,CUST10961,2026-01-27,Wrong item received,459,2
RET10260,ORD100696,CUST10308,2026-01-08,Changed mind,695,2
RET10261,ORD100701,CUST10172,2026-02-11,Size/fit issue,728,9
RET10262,ORD100702,CUST10740,2026-01-27,Wrong item received,1018,7
RET10263,ORD100706,CUST10619,2026-02-21,Product not as described,27054,13
RET10264,ORD100707,CUST10929,2026-01-17,Defective product,578,8
RET10265,ORD100708,CUST10275,2026-03-10,Wrong item received,1143,12
RET10266,ORD100709,CUST10605,2026-01-22,Better price elsewhere,1069,12
RET10267,ORD100710,CUST11609,2026-02-15,Changed mind,414,3
RET10268,ORD100713,CUST11054,2026-02-15,Wrong item received,837,13
RET10269,ORD100723,CUST11656,2026-01-17,Defective product,536,1
RET10270,ORD100726,CUST10757,2026-02-13,Better price elsewhere,50,14
RET10271,ORD100728,CUST10677,2026-02-01,Size/fit issue,1386,2
RET10272,ORD100730,CUST11939,2026-02-05,Product not as described,925,12
RET10273,ORD100731,CUST10759,2026-02-04,Changed mind,940,4
RET10274,ORD100732,CUST10804,2026-02-21,Product not as described,16229,5
RET10275,ORD100734,CUST10427,2026-01-23,Changed mind,906,5
RET10276,ORD100736,CUST11096,2026-03-03,Changed mind,1567,3
RET10277,ORD100738,CUST11040,2026-02-27,Product not as described,3171,5
RET10278,ORD100743,CUST11781,2026-01-18,Changed mind,2545,9
RET10279,ORD100748,CUST10850,2026-01-11,Product not as described,2443,3
RET10280,ORD100749,CUST10648,2026-01-26,Defective product,19032,6
RET10281,ORD100750,CUST11658,2026-02-05,Quality not as expected,1019,7
RET10282,ORD100755,CUST10290,2026-01-19,Damaged in shipping,1749,11
RET10283,ORD100756,CUST11494,2026-02-03,Defective product,1131,5
RET10284,ORD100757,CUST11909,2026-01-20,Changed mind,50,2
RET10285,ORD100760,CUST10531,2026-03-04,Better price elsewhere,825,8
RET10286,ORD100761,CUST11823,2026-02-09,Damaged in shipping,96,8
RET10287,ORD100763,CUST11416,2026-01-30,Product not as described,26530,3
RET10288,ORD100764,CUST11792,2026-03-02,Better price elsewhere,28834,8
RET10289,ORD100766,CUST10819,2026-02-03,Damaged in shipping,40731,13
RET10290,ORD100767,CUST10399,2026-01-05,Defective product,62048,4
RET10291,ORD100770,CUST10050,2026-02-03,Better price elsewhere,1257,10
RET10292,ORD100773,CUST10633,2026-01-30,Quality not as expected,60,9
RET10293,ORD100774,CUST10245,2026-01-07,Wrong item received,428,5
RET10294,ORD100778,CUST10249,2026-02-02,Product not as described,863,8
RET10295,ORD100779,CUST11452,2026-02-17,Product not as described,1273,14
RET10296,ORD100781,CUST11178,2026-02-12,Product not as described,54959,2
RET10297,ORD100784,CUST11862,2026-01-16,Changed mind,1832,6
RET10298,ORD100788,CUST11601,2026-01-20,Size/fit issue,242,5
RET10299,ORD100790,CUST10961,2026-01-17,Product not as described,816,11
RET10300,ORD100791,CUST10093,2026-01-26,Size/fit issue,770,14
RET10301,ORD100794,CUST10028,2026-01-15,Changed mind,1934,7
RET10302,ORD100796,CUST11828,2026-02-19,Damaged in shipping,838,14
RET10303,ORD100798,CUST11890,2026-02-24,Product not as described,1112,6
RET10304,ORD100801,CUST10297,2026-01-18,Size/fit issue,669,4
RET10305,ORD100802,CUST10290,2026-01-22,Defective product,167,11
RET10306,ORD100803,CUST11299,2026-02-28,Damaged in shipping,2324,10
RET10307,ORD100804,CUST10315,2026-02-07,Wrong item received,1526,2
RET10308,ORD100809,CUST10797,2026-02-26,Better price elsewhere,56737,3
RET10309,ORD100810,CUST11770,2026-01-29,Damaged in shipping,536,13
RET10310,ORD100812,CUST10812,2026-03-03,Defective product,2466,11
RET10311,ORD100813,CUST10214,2026-01-24,Changed mind,1285,8
RET10312,ORD100814,CUST11370,2026-01-25,Quality not as expected,2129,10
RET10313,ORD100816,CUST10027,2026-02-19,Product not as described,10757,7
RET10314,ORD100819,CUST11169,2026-02-20,Damaged in shipping,1716,4
RET10315,ORD100821,CUST11619,2026-01-17,Better price elsewhere,62315,14
RET10316,ORD100823,CUST10754,2026-02-03,Better price elsewhere,3171,6
RET10317,ORD100828,CUST10732,2026-01-23,Defective product,50,11
RET10318,ORD100830,CUST10519,2026-02-01,Defective product,483,4
RET10319,ORD100832,CUST10278,2026-02-21,Damaged in shipping,1279,9
RET10320,ORD100833,CUST10629,2026-01-23,Defective product,50,10
RET10321,ORD100834,CUST11855,2026-02-14,Size/fit issue,421,5
RET10322,ORD100836,CUST11159,2026-02-05,Defective product,2849,2
RET10323,ORD100837,CUST10337,2026-02-11,Damaged in shipping,354,10
RET10324,ORD100839,CUST10270,2026-02-16,Wrong item received,564,5
RET10325,ORD100847,CUST10324,2026-02-21,Wrong item received,707,14
RET10326,ORD100849,CUST10557,2026-02-11,Product not as described,929,5
RET10327,ORD100854,CUST11891,2026-03-09,Defective product,246,11
RET10328,ORD100865,CUST10225,2026-02-05,Product not as described,2382,2
RET10329,ORD100866,CUST10846,2026-01-19,Wrong item received,16856,5
RET10330,ORD100867,CUST10480,2026-03-05,Wrong item received,2090,9
RET10331,ORD100869,CUST11252,2026-01-24,Size/fit issue,824,1
RET10332,ORD100870,CUST11346,2026-01-21,Changed mind,1143,5
RET10333,ORD100873,CUST11621,2026-01-25,Wrong item received,541,5
RET10334,ORD100875,CUST11707,2026-03-10,Better price elsewhere,2426,14
RET10335,ORD100876,CUST11184,2026-01-27,Product not as described,434,8
RET10336,ORD100877,CUST11804,2026-03-11,Defective product,1850,13
RET10337,ORD100881,CUST11178,2026-02-23,Product not as described,1395,1
RET10338,ORD100883,CUST10204,2026-01-20,Damaged in shipping,373,9
RET10339,ORD100888,CUST11290,2026-02-23,Size/fit issue,53034,3
RET10340,ORD100889,CUST10689,2026-03-04,Product not as described,1408,11
RET10341,ORD100890,CUST11759,2026-01-17,Wrong item received,1108,8
RET10342,ORD100891,CUST10020,2026-01-27,Wrong item received,1661,7
RET10343,ORD100894,CUST10111,2026-01-06,Changed mind,2904,4
RET10344,ORD100895,CUST11509,2026-01-26,Size/fit issue,112,3
RET10345,ORD100897,CUST10682,2026-02-01,Product not as described,772,6
RET10346,ORD100899,CUST11387,2026-02-03,Changed mind,93,3
RET10347,ORD100901,CUST11934,2026-01-27,Damaged in shipping,189,10
RET10348,ORD100902,CUST10387,2026-02-15,Wrong item received,23753,1
RET10349,ORD100903,CUST10794,2026-01-12,Size/fit issue,94264,6
RET10350,ORD100907,CUST10068,2026-01-25,Damaged in shipping,772,9
RET10351,ORD100909,CUST10425,2026-01-14,Product not as described,726,7
RET10352,ORD100914,CUST11455,2026-03-08,Defective product,1112,9
RET10353,ORD100916,CUST10313,2026-02-27,Wrong item received,19032,6
RET10354,ORD100917,CUST11324,2026-02-14,Better price elsewhere,330,13
RET10355,ORD100918,CUST10585,2026-02-13,Size/fit issue,297,14
RET10356,ORD100919,CUST10076,2026-01-25,Damaged in shipping,2439,11
RET10357,ORD100921,CUST11939,2026-01-24,Defective product,382,13
RET10358,ORD100926,CUST10019,2026-01-04,Better price elsewhere,306,2
RET10359,ORD100927,CUST10821,2026-01-13,Size/fit issue,1879,6
RET10360,ORD100928,CUST11797,2026-01-29,Product not as described,1012,14
RET10361,ORD100930,CUST11503,2026-01-19,Product not as described,592,11
RET10362,ORD100932,CUST10896,2026-02-03,Better price elsewhere,50,6
RET10363,ORD100934,CUST10510,2026-02-23,Damaged in shipping,1782,6
RET10364,ORD100935,CUST10569,2026-01-26,Product not as described,1112,2
RET10365,ORD100940,CUST10095,2026-02-08,Defective product,571,4
RET10366,ORD100942,CUST10186,2026-02-23,Quality not as expected,1536,8
RET10367,ORD100944,CUST10106,2026-01-29,Wrong item received,2264,5
RET10368,ORD100946,CUST11352,2026-02-13,Size/fit issue,204,9
RET10369,ORD100947,CUST11703,2026-02-14,Better price elsewhere,512,14
RET10370,ORD100955,CUST10994,2026-02-14,Wrong item received,373,4
RET10371,ORD100958,CUST11087,2026-02-03,Changed mind,1871,1
RET10372,ORD100961,CUST10930,2026-01-15,Size/fit issue,109,11
RET10373,ORD100962,CUST10596,2026-01-11,Quality not as expected,199,8
RET10374,ORD100963,CUST11225,2026-01-25,Product not as described,39019,2
RET10375,ORD100964,CUST11989,2026-02-10,Size/fit issue,1534,1
RET10376,ORD100965,CUST10726,2026-02-19,Quality not as expected,790,11
RET10377,ORD100970,CUST10295,2026-02-05,Defective product,645,11
RET10378,ORD100973,CUST11417,2026-03-01,Damaged in shipping,899,7
RET10379,ORD100974,CUST11999,2026-01-24,Defective product,1917,5
RET10380,ORD100975,CUST10624,2026-03-01,Changed mind,633,6
RET10381,ORD100976,CUST10024,2026-02-02,Wrong item received,1850,3
RET10382,ORD100984,CUST10971,2026-02-22,Wrong item received,843,2
RET10383,ORD100986,CUST10856,2026-03-09,Better price elsewhere,885,11
RET10384,ORD100988,CUST10056,2026-01-26,Better price elsewhere,1980,2
RET10385,ORD100993,CUST10892,2026-02-07,Wrong item received,5285,8
RET10386,ORD100995,CUST11360,2026-01-26,Quality not as expected,796,14
RET10387,ORD100998,CUST10419,2026-01-09,Quality not as expected,45490,2
RET10388,ORD100999,CUST11102,2026-03-01,Size/fit issue,1038,5
RET10389,ORD101001,CUST11442,2026-01-22,Wrong item received,50,11
